Date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-10-04,55.6,43.0,71.1,0.0,,12.0,1.2,,1013.3,
2021-10-05,61.0,46.9,75.0,0.0,,326.0,3.3,,1009.7,
2021-10-06,52.0,44.1,60.1,0.043,,199.0,8.9,,1016.9,
2021-10-07,46.0,35.1,59.0,0.0,,15.0,3.0,,1019.4,
2021-10-08,45.5,35.1,59.0,0.0,,353.0,1.0,,1015.8,
2021-10-09,46.8,34.0,59.0,0.0,,309.0,4.7,,1019.9,
2021-10-10,52.7,39.9,59.0,0.0,,249.0,9.2,,1014.5,
2021-10-11,41.9,30.9,55.9,0.0,,358.0,2.2,,1019.3,
2021-10-12,40.6,28.9,54.0,0.0,,357.0,2.0,,1020.2,
2021-10-13,41.0,39.0,43.0,0.071,,309.0,3.4,,1015.8,
2021-10-14,43.3,34.0,51.1,0.012,,319.0,3.5,,1021.8,
2021-10-15,51.1,46.0,57.9,0.0,,156.0,3.5,,1022.4,
2021-10-16,52.9,39.9,72.0,0.0,,20.0,3.0,,1017.8,
2021-10-17,51.6,41.0,69.1,0.0,,6.0,1.2,,1006.3,
2021-10-18,49.1,37.9,64.9,0.0,,0.0,1.4,,1009.6,
2021-10-19,49.6,37.0,68.0,0.0,,14.0,2.1,,1013.2,
2021-10-20,52.0,46.0,59.0,0.091,,44.0,5.3,,1013.3,
2021-10-21,53.4,46.0,64.0,0.0,,27.0,3.7,,1017.1,
2021-10-22,52.3,48.9,55.9,0.252,,204.0,5.7,,1008.0,
2021-10-23,49.1,45.0,54.0,0.083,,209.0,5.5,,1007.2,
2021-10-24,50.0,45.0,55.0,0.335,,76.0,8.6,,997.3,
2021-10-25,48.9,42.1,57.0,0.122,,139.0,6.3,,1000.9,
2021-10-26,49.1,44.1,54.0,0.083,,212.0,10.7,,1008.8,
2021-10-27,48.7,42.1,54.0,0.0,,236.0,10.2,,1019.3,
2021-10-28,55.0,45.0,64.9,0.114,,209.0,9.8,,1017.8,
2021-10-29,52.2,39.9,60.1,0.528,,258.0,7.1,,1013.3,
2021-10-30,38.8,28.9,50.0,0.0,,18.0,3.6,,1024.7,
2021-10-31,37.8,28.9,51.1,0.0,,14.0,2.2,,1022.1,
2021-11-01,40.3,30.0,55.0,0.0,,12.0,1.6,,1020.2,
2021-11-02,45.1,42.1,51.1,0.0,,352.0,1.9,,1024.9,
2021-11-03,48.4,44.1,57.0,0.0,,8.0,0.7,,1021.5,
2021-11-04,49.6,45.0,57.0,0.299,,299.0,7.0,,1009.5,
2021-11-05,46.0,39.9,51.1,0.039,,229.0,5.5,,1015.2,
2021-11-06,41.9,37.0,48.0,0.031,,161.0,5.7,,1014.8,
2021-11-07,41.5,36.0,48.0,0.0,,216.0,8.5,,1019.7,
2021-11-08,41.9,36.0,51.1,0.0,,52.0,4.1,,1019.9,
2021-11-09,42.1,37.0,51.1,0.15,,124.0,7.5,,1012.0,
2021-11-10,38.7,32.0,46.0,0.0,,344.0,3.5,,1025.7,
2021-11-11,39.0,35.1,43.0,0.287,,19.0,2.5,,1026.2,
2021-11-12,43.9,39.9,48.0,0.425,,350.0,1.1,,1021.4,
2021-11-13,41.0,34.0,46.0,0.102,,14.0,1.7,,1024.6,
2021-11-14,54.9,42.1,60.1,0.122,,229.0,17.3,,1012.2,
2021-11-15,53.4,41.0,59.0,0.098,,221.0,16.3,,1005.8,
2021-11-16,36.3,28.0,45.0,0.012,,284.0,7.5,,1022.9,
2021-11-17,29.7,21.0,39.0,0.0,,17.0,1.7,,1031.5,
2021-11-18,34.0,30.9,37.9,0.224,,7.0,1.1,,1019.2,
2021-11-19,35.6,33.1,37.9,0.358,,359.0,0.3,,1018.9,
2021-11-20,35.4,30.9,37.9,0.0,,342.0,1.9,,1031.3,
2021-11-21,35.2,30.0,43.0,0.0,,7.0,0.8,,1031.9,
2021-11-22,32.7,28.9,37.9,0.0,,348.0,1.9,,1020.9,
2021-11-23,34.2,33.1,35.1,0.343,,321.0,2.7,,1014.3,
2021-11-24,34.7,30.9,41.0,0.0,,322.0,2.4,,1030.5,
2021-11-25,40.1,32.0,46.0,0.02,,37.0,3.0,,1026.2,
2021-11-26,46.0,42.1,52.0,0.02,,345.0,2.7,,1020.5,
2021-11-27,43.5,37.9,50.0,0.236,,28.0,2.5,,1021.6,
2021-11-28,54.5,50.0,57.9,0.0,,221.0,11.6,,1018.2,
2021-11-29,49.6,46.0,55.9,0.0,,296.0,3.6,,1022.4,
2021-11-30,50.4,46.9,53.1,0.016,,205.0,7.6,,1020.6,
2021-12-01,56.3,51.1,62.1,0.0,,224.0,9.3,,1017.5,
2021-12-02,47.7,37.9,55.0,0.0,,247.0,6.0,,1018.7,
2021-12-03,35.6,30.0,39.0,0.0,,1.0,0.3,,1024.2,
2021-12-04,36.3,34.0,39.0,0.055,,316.0,3.2,,1017.3,
2021-12-05,29.5,25.0,35.1,0.0,,352.0,3.5,,1030.5,
2021-12-06,27.3,26.1,28.9,0.146,,6.0,1.3,,1021.4,
2021-12-07,30.9,28.0,34.0,0.0,,4.0,0.4,,1017.5,
2021-12-08,36.9,30.0,44.1,0.0,,286.0,5.2,,1007.5,
2021-12-09,31.6,26.1,34.0,0.043,,246.0,4.6,,1011.2,
2021-12-10,32.9,28.0,37.0,0.004,,227.0,7.4,,1016.4,
2021-12-11,42.3,37.0,46.0,0.118,,205.0,18.1,,1002.4,
2021-12-12,38.1,34.0,43.0,0.043,,233.0,9.1,,1003.3,
2021-12-13,37.0,33.1,42.1,0.071,,81.0,7.1,,1001.7,
2021-12-14,34.9,28.9,39.0,0.0,,241.0,5.2,,1006.2,
2021-12-15,30.0,25.0,36.0,0.0,,33.0,2.1,,1013.6,
2021-12-16,29.8,27.0,32.0,0.091,,291.0,4.3,,1013.0,
2021-12-17,19.2,12.0,23.0,0.0,,8.0,1.2,,1028.9,
2021-12-18,32.4,21.9,42.1,0.299,,353.0,6.2,,1016.6,
2021-12-19,33.1,28.0,37.9,0.0,,330.0,3.2,,1015.2,
2021-12-20,26.2,24.1,28.9,0.122,,358.0,0.6,,1020.5,
2021-12-21,24.4,21.9,28.0,0.028,,2.0,1.7,,1021.7,
2021-12-22,35.4,26.1,43.0,0.252,,0.0,2.1,,1008.2,
2021-12-23,37.9,34.0,43.0,0.051,,228.0,11.6,,994.7,
2021-12-24,34.5,32.0,37.0,0.071,,193.0,7.4,,994.4,
2021-12-25,32.9,28.9,37.0,0.008,,196.0,8.1,,998.1,
2021-12-26,28.2,25.0,32.0,0.043,,244.0,5.4,,997.4,
2021-12-27,19.4,14.0,25.0,0.024,,281.0,4.9,,1006.3,
2021-12-28,13.3,8.1,17.1,0.0,,347.0,2.2,,1010.2,
2021-12-29,13.1,8.1,17.1,0.0,,324.0,4.2,,1012.7,
2021-12-30,14.9,12.0,17.1,0.177,,4.0,1.7,,1006.3,
2021-12-31,14.5,10.9,21.0,0.0,,272.0,3.3,,1015.6,
2022-01-01,14.0,10.9,18.0,0.0,,347.0,2.2,,1027.9,
2022-01-02,18.5,12.9,30.0,0.0,,15.0,1.1,,1020.0,
2022-01-03,35.8,32.0,41.0,0.13,,197.0,9.4,,1003.1,
2022-01-04,31.1,28.9,34.0,0.039,,235.0,5.2,,1015.6,
2022-01-05,28.6,25.0,30.9,0.114,,318.0,2.1,,1019.2,
2022-01-06,28.2,26.1,35.1,0.622,,48.0,3.2,,1010.0,
2022-01-07,38.3,32.0,43.0,0.421,,230.0,15.8,,996.5,
2022-01-08,29.3,23.0,34.0,0.0,,313.0,4.3,,1021.8,
2022-01-09,25.7,19.0,35.1,0.0,,3.0,0.9,,1034.3,
2022-01-10,25.7,17.1,34.0,0.0,,7.0,0.6,,1034.1,
2022-01-11,35.2,30.0,39.9,0.122,,25.0,2.7,,1027.7,
2022-01-12,39.0,30.9,43.0,0.13,,42.0,3.5,,1024.2,
2022-01-13,33.3,28.0,37.0,0.0,,14.0,1.6,,1023.8,
2022-01-14,33.1,28.0,37.9,0.0,,11.0,1.6,,1034.8,
2022-01-15,34.3,32.0,39.9,0.0,,0.0,1.9,,1028.9,
2022-01-16,32.2,30.0,36.0,0.0,,25.0,1.7,,1025.8,
2022-01-17,33.3,30.0,39.0,0.0,,6.0,2.3,,1017.6,
2022-01-18,35.2,33.1,37.9,0.02,,324.0,2.2,,1018.8,
2022-01-19,36.7,35.1,39.9,0.004,,9.0,0.6,,1027.7,
2022-01-20,37.4,33.1,41.0,0.559,,303.0,3.8,,1022.5,
2022-01-21,33.4,30.0,39.9,0.0,,313.0,2.8,,1032.5,
2022-01-22,30.4,26.1,35.1,0.0,,3.0,0.5,,1035.3,
2022-01-23,30.2,28.9,32.0,0.0,,20.0,1.4,,1030.3,
2022-01-24,30.0,28.0,30.9,0.0,,339.0,1.9,,1026.6,
2022-01-25,31.3,28.9,33.1,0.0,,30.0,2.4,,1030.4,
2022-01-26,31.8,30.9,33.1,0.0,,344.0,2.3,,1029.5,
2022-01-27,30.4,24.1,37.0,0.0,,0.0,1.8,,1037.8,
2022-01-28,25.9,21.0,32.0,0.0,,357.0,1.1,,1035.2,
2022-01-29,27.1,21.9,32.0,0.0,,11.0,1.2,,1029.7,
2022-01-30,31.3,26.1,39.9,0.024,,344.0,2.0,,1020.2,
2022-01-31,32.7,24.1,37.9,0.0,,257.0,7.8,,1018.4,
2022-02-01,28.8,24.1,37.0,0.0,,297.0,3.7,,1023.2,
2022-02-02,22.1,17.1,27.0,0.031,,54.0,4.0,,1028.7,
2022-02-03,26.4,23.0,30.0,0.012,,11.0,1.3,,1031.0,
2022-02-04,33.1,28.9,39.0,0.0,,323.0,3.0,,1028.9,
2022-02-05,35.4,28.0,44.1,0.0,,320.0,3.2,,1031.4,
2022-02-06,32.4,27.0,45.0,0.0,,3.0,0.9,,1033.2,
2022-02-07,36.1,27.0,48.9,0.0,,315.0,3.4,,1026.7,
2022-02-08,36.9,28.0,46.9,0.0,,5.0,2.8,,1033.0,
2022-02-09,39.0,30.9,51.1,0.0,,0.0,0.7,,1031.8,
2022-02-10,37.4,30.0,48.9,0.0,,334.0,2.3,,1026.5,
2022-02-11,33.4,25.0,51.1,0.0,,7.0,1.5,,1032.1,
2022-02-12,32.9,24.1,46.9,0.0,,2.0,1.1,,1032.1,
2022-02-13,34.3,25.0,50.0,0.0,,7.0,0.7,,1025.7,
2022-02-14,36.9,33.1,43.0,0.039,,332.0,3.9,,1012.4,
2022-02-15,37.4,33.1,46.9,0.0,,328.0,1.8,,1016.2,
2022-02-16,37.4,30.0,48.9,0.0,,323.0,3.0,,1020.9,
2022-02-17,37.4,28.0,45.0,0.0,,250.0,5.3,,1025.6,
2022-02-18,40.3,30.9,53.1,0.0,,356.0,3.7,,1026.3,
2022-02-19,41.9,33.1,46.9,0.0,,244.0,8.3,,1013.8,
2022-02-20,38.3,30.9,46.0,0.012,,253.0,7.5,,1008.2,
2022-02-21,25.2,16.0,32.0,0.15,,54.0,11.4,,1014.0,
2022-02-22,15.4,10.9,19.9,0.0,,38.0,10.0,,1027.7,
2022-02-23,15.1,6.1,21.9,0.0,,322.0,2.7,,1030.0,
2022-02-24,20.7,15.1,27.0,0.031,,296.0,3.0,,1030.4,
2022-02-25,21.2,12.9,30.9,0.0,,17.0,1.4,,1034.5,
2022-02-26,27.0,15.1,43.0,0.0,,6.0,1.1,,1031.2,
2022-02-27,37.0,30.0,45.0,0.122,,60.0,3.9,,1025.4,
2022-02-28,45.5,39.0,53.1,0.638,,188.0,7.2,,1016.1,
2022-03-01,52.7,48.0,60.1,0.02,,240.0,7.5,,1017.3,
2022-03-02,46.4,44.1,50.0,0.201,,359.0,1.2,,1017.3,
2022-03-03,42.4,37.0,46.0,0.433,,310.0,3.0,,1014.1,
2022-03-04,36.1,30.0,43.0,0.0,,341.0,2.3,,1016.4,
2022-03-05,35.6,28.9,48.9,0.0,,348.0,0.9,,1020.6,
2022-03-06,37.0,28.0,48.9,0.0,,2.0,2.6,,1027.3,
2022-03-07,42.3,33.1,53.1,0.0,,271.0,3.7,,1025.5,
2022-03-08,39.7,30.9,44.1,0.0,,17.0,7.5,,1020.7,
2022-03-09,28.9,23.0,36.0,0.0,,19.0,6.9,,1024.5,
2022-03-10,30.2,19.9,39.9,0.0,,285.0,4.8,,1026.3,
2022-03-11,35.2,27.0,44.1,0.024,,20.0,2.9,,1025.0,
2022-03-12,44.4,35.1,60.1,0.0,,358.0,2.9,,1013.3,
2022-03-13,44.75,38.6,55.6,0.0455,,283.5,6.0,,1016.7,
2022-03-14,45.1,42.1,51.1,0.091,,209.0,9.1,,1020.1,
2022-03-15,47.8,42.1,55.9,0.185,,238.0,9.6,,1015.3,
2022-03-16,43.0,37.0,52.0,0.0,,249.0,6.5,,1023.0,
2022-03-17,43.5,30.9,54.0,0.0,,327.0,5.4,,1021.1,
2022-03-18,46.0,39.0,53.1,0.047,,242.0,5.2,,1017.7,
2022-03-19,42.3,33.8,50.0,0.13,,205.0,6.0,,1010.5,
2022-03-20,39.2,30.2,48.2,0.012,,230.0,8.3,,1020.8,
2022-03-21,40.8,35.6,46.4,0.122,,213.0,6.4,,1027.3,
2022-03-22,46.0,41.0,51.8,0.0,,115.0,4.0,,1030.0,
2022-03-23,50.0,37.4,62.6,0.209,,85.0,6.8,,1020.3,
2022-03-24,45.5,33.8,55.4,0.0,,305.0,3.8,,1022.8,
2022-03-25,46.8,35.6,60.8,0.0,,59.0,4.3,,1017.2,
